ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time,name_sent,combined_sentiment,sentiment_data_sources,fetch_time_sent,gtrends_current,gtrends_avg,gtrends_max,gtrends_trend_ratio,gtrends_is_trending,tech_score,tech_reasons,fund_score,fund_reasons,sent_score,sent_reasons,mom_score,mom_reasons,total_score,signal,analysis_time
6098,リクルートHD,人材/テック,JP,6332.0,-3.39,7249300,7156410,1.01,9363.0,6114.0,6.7,6579.55,7501.2,8087.15,31.8,-231.0479,-268.5704,37.5224,7040.09,6119.01,23.1,なし,21.32,,8840824225792,5.2,39.0,9873.75,55.9,2026-03-20T23:42:01.908692,リクルートHD,0.0,0,2026-03-20T23:43:18.549010,,,,,,65,RSI低め(32) / MACDヒストグラム上昇 / BB下限付近(23%) / 200日SMA下,70,52週最安値圏(7%) / PER適正(21x) / 低成長(5%) / 高配当(39.0%),45,SNS中立(0) / 検索急上昇(nanx),10,出来高平常(1.0x) / 下落トレンド,54.2,★ 要注目,2026-03-20T23:43:18.563373
6526,ソシオネクスト,SoC設計,JP,1733.0,-4.33,3602000,4038355,0.89,3491.0,1304.32,19.6,1860.98,2060.68,2458.14,28.7,-85.1195,-86.3093,1.1898,2061.68,1660.27,18.1,なし,30.77,,303698345984,19.2,289.0,2580.0,48.9,2026-03-20T23:41:58.119697,ソシオネクスト,-17.0,1,2026-03-20T23:43:18.548987,2.0,3.3,6.0,0.83,False,75,RSI売られすぎ(29) / MACDヒストグラム上昇 / BB下限付近(18%) / 200日SMA下,65,52週最安値圏(20%) / PERやや高(31x) / 成長(19%) / 高配当(289.0%),15,SNS中立(-17),10,出来高平常(0.9x) / 下落トレンド,50.2,★ 要注目,2026-03-20T23:43:18.563113
6758,ソニーグループ,エンタメ/半導体,JP,3271.0,-0.46,23963400,23731475,1.01,4700.0,3000.11,15.9,3400.15,3539.54,3932.4,27.5,-60.9074,-56.0964,-4.811,3593.13,3207.17,16.5,なし,15.85,,19431524663296,0.5,76.0,4908.2607,50.1,2026-03-20T23:42:07.170966,ソニーグループ,-35.0,1,2026-03-20T23:43:18.549043,15.0,30.1,65.0,0.65,False,70,RSI売られすぎ(28) / MACD反転間近 / BB下限付近(16%) / 200日SMA下,80,52週最安値圏(16%) / PER割安(16x) / 低成長(0%) / 高配当(76.0%),0,SNS弱気(-35),10,出来高平常(1.0x) / 下落トレンド,50.0,★ 要注目,2026-03-20T23:43:18.563699
MSFT,Microsoft,テック/クラウド,US,384.37,-1.2,13003581,32278509,0.4,539.83,351.87,17.3,398.89,420.26,479.8,35.3,-7.1789,-7.022,-0.1569,415.01,382.77,4.9,なし,24.04,,2856968781824,16.7,94.0,594.6217,54.7,2026-03-20T23:41:44.557740,Microsoft,-17.0,1,2026-03-20T23:43:18.548888,17.0,19.4,100.0,0.83,False,65,RSI低め(35) / MACD反転間近 / BB下限突破(5%) / 200日SMA下,75,52週最安値圏(17%) / PER 24x / 成長(17%) / 上値余地大(+55%),15,SNS中立(-17),0,出来高減少(0.4x) / 下落トレンド,48.2,★ 要注目,2026-03-20T23:43:18.562151
4568,第一三共,製薬,JP,2903.0,-2.49,10668400,8732840,1.22,4174.0,2773.5,9.2,2905.15,3034.6,3429.11,39.8,-36.0824,-52.2734,16.191,3064.96,2745.34,49.3,なし,19.42,,5324447678464,15.1,269.0,4786.875,64.9,2026-03-20T23:42:07.631420,第一三共,-20.0,1,2026-03-20T23:43:18.549047,13.0,20.6,42.0,0.8,False,55,RSI低め(40) / MACDヒストグラム上昇 / BB中間以下(49%) / 200日SMA下,85,52週最安値圏(9%) / PER割安(19x) / 成長(15%) / 高配当(269.0%),0,SNS弱気(-20),20,出来高やや増(1.2x) / 下落トレンド,47.8,★ 要注目,2026-03-20T23:43:18.563732
MA,Mastercard,フィンテック/決済,US,492.36,0.25,880562,3612118,0.24,597.27,477.16,12.7,508.47,526.98,555.77,29.2,-9.654,-8.2358,-1.4182,532.73,484.21,16.8,なし,29.84,,439400595456,17.6,71.0,662.58826,34.6,2026-03-20T23:41:55.795955,Mastercard,2.0,1,2026-03-20T23:43:18.548967,55.0,58.8,66.0,1.02,False,55,RSI売られすぎ(29) / MACDマイナス圏 / BB下限付近(17%) / 200日SMA下,75,52週最安値圏(13%) / PER 30x / 成長(18%) / 上値余地大(+35%),30,SNS中立(2) / 検索上昇傾向(1.0x),0,出来高減少(0.2x) / 下落トレンド,47.8,★ 要注目,2026-03-20T23:43:18.562950
8031,三井物産,総合商社,JP,6250.0,-6.14,16432200,8854510,1.86,6659.0,2434.4,90.3,5881.05,5446.46,4022.85,56.5,236.1891,203.2533,32.9358,6429.16,5332.94,83.7,なし,19.84,,17748641972224,-1.5,192.0,5935.385,-5.0,2026-03-20T23:42:02.872068,三井物産,0.0,0,2026-03-20T23:43:18.549012,,,,,,40,RSIやや高(56) / MACDプラス圏上昇 / BB上方(84%) / 200日SMA上,45,52週高値圏(90%) / PER割安(20x) / 減収(-2%) / 高配当(192.0%),45,SNS中立(0) / 検索急上昇(nanx),70,出来高やや増(1.9x) / 強い上昇トレンド,47.0,★ 要注目,2026-03-20T23:43:18.563436
V,Visa,フィンテック/決済,US,299.76,0.02,2329520,7251166,0.32,371.15,299.02,1.0,311.63,321.37,338.24,15.5,-5.8814,-4.7504,-1.131,326.29,296.97,9.5,なし,28.17,,577949138944,14.6,89.0,400.2003,33.5,2026-03-20T23:41:55.362057,Visa,-5.0,1,2026-03-20T23:43:18.548963,69.0,78.3,100.0,0.95,False,60,RSI売られすぎ(16) / MACDマイナス圏 / BB下限突破(10%) / 200日SMA下,75,52週最安値圏(1%) / PER 28x / 成長(15%) / 上値余地大(+34%),15,SNS中立(-5),0,出来高減少(0.3x) / 下落トレンド,46.5,★ 要注目,2026-03-20T23:43:18.562917
9984,ソフトバンクグループ,投資/テック,JP,3558.0,-5.12,35935700,41395135,0.87,6828.75,1457.05,39.1,3878.55,4111.02,3977.45,37.6,-171.0586,-151.9292,-19.1294,4420.68,3336.42,20.4,なし,6.65,,20276200865792,8.2,31.0,5416.853,52.2,2026-03-20T23:42:00.985532,ソフトバンクグループ,0.0,0,2026-03-20T23:43:18.549007,,,,,,45,RSI低め(38) / MACDマイナス圏 / BB下限付近(20%) / 200日SMA下,65,52週中間以下(39%) / PER割安(7x) / 低成長(8%) / 高配当(31.0%),45,SNS中立(0) / 検索急上昇(nanx),10,出来高平常(0.9x) / 下落トレンド,45.8,★ 要注目,2026-03-20T23:43:18.563308
QCOM,Qualcomm,半導体/通信,US,131.9,0.48,2474443,9251587,0.27,185.53,121.81,15.8,136.3,145.13,157.82,32.2,-4.1737,-4.3036,0.1298,146.42,126.19,28.2,なし,26.59,,140880494592,5.0,271.0,156.96297,19.0,2026-03-20T23:41:42.815270,Qualcomm,0.0,0,2026-03-20T23:43:18.548872,0.0,0.2,1.0,0.0,False,65,RSI低め(32) / MACDヒストグラム上昇 / BB下限付近(28%) / 200日SMA下,65,52週最安値圏(16%) / PER 27x / 低成長(5%) / 上値余地あり(+19%),15,SNS中立(0),0,出来高減少(0.3x) / 下落トレンド,45.2,★ 要注目,2026-03-20T23:43:18.562015
