ticker,name,market,price,change_1d_pct,change_5d_pct,vol_ratio,vol_avg_5d,vol_avg_20d,near_high_pct,alerts,alert_count,scan_time,in_watchlist
LMT,Lockheed Martin Corporation,US,568.5900268554688,10.54,10.72,1.27,1599914,1261633,0.0,5日急騰 +10.7% / 単日急騰 +10.5% / 新高値圏,3,2026-07-23 22:54,False
RTX,RTX Corporation,US,209.16000366210938,7.33,7.61,1.18,5492833,4637113,0.0,単日急騰 +7.3% / 新高値圏,2,2026-07-23 22:54,False
TMO,Thermo Fisher Scientific Inc,US,572.3200073242188,8.71,5.36,1.27,2945364,2323576,0.0,単日急騰 +8.7% / 新高値圏,2,2026-07-23 22:53,True
SMCI,"Super Micro Computer, Inc.",US,31.200000762939453,2.09,26.42,1.47,71135766,48256676,-37.81,5日急騰 +26.4%,1,2026-07-23 22:54,True
MU,"Micron Technology, Inc.",US,990.2100219726562,3.2,16.06,0.91,44378662,48957195,-18.39,5日急騰 +16.1%,1,2026-07-23 22:53,True
DELL,Dell Technologies Inc.,US,439.3399963378906,-0.56,12.44,0.8,5921549,7420022,-5.56,5日急騰 +12.4%,1,2026-07-23 22:54,True
MRVL,"Marvell Technology, Inc.",US,209.32000732421875,-0.79,11.16,0.78,22003116,28223134,-33.83,5日急騰 +11.2%,1,2026-07-23 22:53,True
3382.T,SEVEN & I HOLDINGS CO LTD,JP,2080.0,-0.57,5.91,1.12,9448620,8403615,-0.57,新高値圏,1,2026-07-23 22:54,False
2914.T,JAPAN TOBACCO INC,JP,6369.0,-1.38,4.24,1.14,5606420,4921645,-1.38,新高値圏,1,2026-07-23 22:54,True
9101.T,NIPPON YUSEN KABUSHIKI KAISHA,JP,5817.0,-0.02,3.62,1.1,2938500,2678245,-0.97,新高値圏,1,2026-07-23 22:54,False
GD,General Dynamics Corporation,US,381.7900085449219,2.31,3.52,1.0,1131657,1136434,0.0,新高値圏,1,2026-07-23 22:54,False
7751.T,CANON INC,JP,4529.0,-0.15,2.49,1.05,3940960,3749265,-0.15,新高値圏,1,2026-07-23 22:54,False
8766.T,TOKIO MARINE HOLDINGS INC,JP,7958.0,-0.16,2.39,0.86,4720920,5499225,-0.16,新高値圏,1,2026-07-23 22:54,True
6902.T,DENSO CORP,JP,1993.0,0.18,2.02,0.84,5984360,7119530,0.0,新高値圏,1,2026-07-23 22:54,False
7752.T,RICOH CO,JP,1561.5,0.64,1.99,1.54,3853620,2507575,0.0,新高値圏,1,2026-07-23 22:54,False
BMY,Bristol-Myers Squibb Company,US,61.5099983215332,1.23,1.65,0.8,8917674,11193963,0.0,新高値圏,1,2026-07-23 22:54,False
8411.T,MIZUHO FINANCIAL GROUP,JP,8766.0,2.78,1.65,1.26,11253800,8924975,0.0,新高値圏,1,2026-07-23 22:54,True
8306.T,MITSUBISHI UFJ FINANCIAL GROUP ,JP,3750.0,2.24,1.43,1.28,48745720,38093060,0.0,新高値圏,1,2026-07-23 22:54,True
ABBV,AbbVie Inc.,US,256.9200134277344,1.43,0.99,0.57,5080135,8861353,-0.89,新高値圏,1,2026-07-23 22:53,True
8316.T,SUMITOMO MITSUI FINANCIAL GROUP,JP,7167.0,1.34,0.65,1.19,14176820,11951450,0.0,新高値圏,1,2026-07-23 22:54,True
9433.T,KDDI CORPORATION,JP,2870.5,-0.17,0.63,0.98,8326040,8523360,-0.38,新高値圏,1,2026-07-23 22:54,True
EA,Electronic Arts Inc.,US,209.0,0.02,0.56,1.17,2502019,2142114,-0.14,新高値圏,1,2026-07-23 22:53,True
AMGN,Amgen Inc.,US,371.5,1.49,-0.02,1.05,2388742,2269925,-0.71,新高値圏,1,2026-07-23 22:53,False
6988.T,NITTO DENKO CORP,JP,3318.0,0.73,-0.15,1.04,3116820,3001360,-0.18,新高値圏,1,2026-07-23 22:54,False
PYPL,"PayPal Holdings, Inc.",US,56.0,0.88,-1.29,0.85,17108572,20171993,-1.44,新高値圏,1,2026-07-23 22:54,True
