ticker,name,combined_sentiment,sentiment_data_sources,fetch_time,gtrends_current,gtrends_avg,gtrends_max,gtrends_trend_ratio,gtrends_is_trending
NVDA,NVIDIA,0.0,0,2026-03-20T23:43:18.548805,,,,,
AMD,AMD,0.0,0,2026-03-20T23:43:18.548811,,,,,
AVGO,Broadcom,0.0,0,2026-03-20T23:43:18.548813,,,,,
MRVL,Marvell Technology,0.0,0,2026-03-20T23:43:18.548815,,,,,
LRCX,Lam Research,0.0,0,2026-03-20T23:43:18.548816,,,,,
KLAC,KLA Corporation,-44.0,1,2026-03-20T23:43:18.548846,1.0,2.0,7.0,0.56,False
AMAT,Applied Materials,-16.0,1,2026-03-20T23:43:18.548852,13.0,14.9,31.0,0.84,False
CDNS,Cadence Design,-37.0,1,2026-03-20T23:43:18.548857,1.0,1.6,5.0,0.63,False
SNPS,Synopsys,-29.0,1,2026-03-20T23:43:18.548862,3.0,5.1,9.0,0.71,False
TSM,TSMC,-6.0,1,2026-03-20T23:43:18.548866,43.0,41.3,100.0,0.94,False
INTC,Intel,-43.0,1,2026-03-20T23:43:18.548870,1.0,1.3,5.0,0.57,False
QCOM,Qualcomm,0.0,0,2026-03-20T23:43:18.548872,0.0,0.2,1.0,0.0,False
MU,Micron Technology,4.0,1,2026-03-20T23:43:18.548876,35.0,39.6,77.0,1.04,False
META,Meta Platforms,-15.0,1,2026-03-20T23:43:18.548880,55.0,66.4,100.0,0.85,False
PLTR,Palantir,-33.0,1,2026-03-20T23:43:18.548884,2.0,2.8,8.0,0.67,False
MSFT,Microsoft,-17.0,1,2026-03-20T23:43:18.548888,17.0,19.4,100.0,0.83,False
AAPL,Apple,-14.0,1,2026-03-20T23:43:18.548891,10.0,11.9,35.0,0.86,False
AMZN,Amazon,-22.0,1,2026-03-20T23:43:18.548895,10.0,14.9,62.0,0.78,False
GOOGL,Alphabet,-2.0,1,2026-03-20T23:43:18.548899,25.0,25.0,41.0,0.98,False
TSLA,Tesla,-17.0,1,2026-03-20T23:43:18.548902,18.0,20.4,57.0,0.83,False
CRM,Salesforce,-6.0,1,2026-03-20T23:43:18.548906,3.0,3.5,6.0,0.94,False
NOW,ServiceNow,-1.0,1,2026-03-20T23:43:18.548910,53.0,56.2,69.0,0.99,False
SNOW,Snowflake,-53.0,1,2026-03-20T23:43:18.548913,9.0,25.2,100.0,0.47,False
DDOG,Datadog,0.0,1,2026-03-20T23:43:18.548918,0.0,0.0,0.0,1.0,False
NET,Cloudflare,-26.0,1,2026-03-20T23:43:18.548921,37.0,47.0,89.0,0.74,False
CRWD,CrowdStrike,0.0,1,2026-03-20T23:43:18.548924,0.0,0.0,0.0,1.0,False
ZS,Zscaler,0.0,1,2026-03-20T23:43:18.548928,1.0,1.0,1.0,1.0,False
PANW,Palo Alto Networks,0.0,1,2026-03-20T23:43:18.548930,0.0,0.0,0.0,1.0,False
SHOP,Shopify,-10.0,1,2026-03-20T23:43:18.548934,64.0,70.7,100.0,0.9,False
UBER,Uber Technologies,-6.0,1,2026-03-20T23:43:18.548938,11.0,13.1,15.0,0.94,False
ABNB,Airbnb,0.0,0,2026-03-20T23:43:18.548939,0.0,0.1,3.0,0.0,False
XYZ,Block (Square),-34.0,1,2026-03-20T23:43:18.548943,9.0,12.2,90.0,0.66,False
COIN,Coinbase,-10.0,1,2026-03-20T23:43:18.548946,67.0,79.4,100.0,0.9,False
LLY,Eli Lilly,-15.0,1,2026-03-20T23:43:18.548950,1.0,1.0,2.0,0.85,False
NVO,Novo Nordisk,-24.0,1,2026-03-20T23:43:18.548954,1.0,0.9,3.0,0.76,False
ISRG,Intuitive Surgical,0.0,1,2026-03-20T23:43:18.548956,0.0,0.0,0.0,1.0,False
DXCM,DexCom,0.0,1,2026-03-20T23:43:18.548958,0.0,0.0,0.0,1.0,False
NFLX,Netflix,0.0,0,2026-03-20T23:43:18.548960,0.0,0.1,2.0,0.0,False
V,Visa,-5.0,1,2026-03-20T23:43:18.548963,69.0,78.3,100.0,0.95,False
MA,Mastercard,2.0,1,2026-03-20T23:43:18.548967,55.0,58.8,66.0,1.02,False
8035,東京エレクトロン,-27.0,1,2026-03-20T23:43:18.548972,6.0,8.0,13.0,0.73,False
6920,レーザーテック,-27.0,1,2026-03-20T23:43:18.548976,6.0,11.2,100.0,0.73,False
6146,ディスコ,-17.0,1,2026-03-20T23:43:18.548980,3.0,3.9,9.0,0.83,False
6857,アドバンテスト,-36.0,1,2026-03-20T23:43:18.548984,2.0,5.1,17.0,0.64,False
6526,ソシオネクスト,-17.0,1,2026-03-20T23:43:18.548987,2.0,3.3,6.0,0.83,False
7011,三菱重工業,-10.0,1,2026-03-20T23:43:18.548991,32.0,39.1,65.0,0.9,False
6861,キーエンス,-10.0,1,2026-03-20T23:43:18.548995,5.0,6.0,12.0,0.9,False
4063,信越化学工業,-27.0,1,2026-03-20T23:43:18.548999,8.0,14.0,43.0,0.73,False
6963,ローム,-37.0,1,2026-03-20T23:43:18.549002,4.0,7.7,100.0,0.63,False
6723,ルネサスエレクトロニクス,-23.0,1,2026-03-20T23:43:18.549006,5.0,8.2,24.0,0.77,False
9984,ソフトバンクグループ,0.0,0,2026-03-20T23:43:18.549007,,,,,
4661,オリエンタルランド,0.0,0,2026-03-20T23:43:18.549009,,,,,
6098,リクルートHD,0.0,0,2026-03-20T23:43:18.549010,,,,,
8058,三菱商事,0.0,0,2026-03-20T23:43:18.549011,,,,,
8031,三井物産,0.0,0,2026-03-20T23:43:18.549012,,,,,
8001,伊藤忠商事,-14.0,1,2026-03-20T23:43:18.549016,41.0,53.6,100.0,0.86,False
8306,三菱UFJ FG,-28.0,1,2026-03-20T23:43:18.549020,11.0,25.9,49.0,0.72,False
8316,三井住友FG,-23.0,1,2026-03-20T23:43:18.549024,8.0,16.8,30.0,0.77,False
6367,ダイキン工業,9.0,1,2026-03-20T23:43:18.549027,3.0,4.3,12.0,1.09,False
7974,任天堂,-37.0,1,2026-03-20T23:43:18.549031,6.0,16.2,70.0,0.63,False
9983,ファーストリテイリング,-16.0,1,2026-03-20T23:43:18.549035,13.0,13.5,40.0,0.84,False
6501,日立製作所,-15.0,1,2026-03-20T23:43:18.549040,43.0,62.9,100.0,0.85,False
6758,ソニーグループ,-35.0,1,2026-03-20T23:43:18.549043,15.0,30.1,65.0,0.65,False
4568,第一三共,-20.0,1,2026-03-20T23:43:18.549047,13.0,20.6,42.0,0.8,False
