ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time
NVDA,NVIDIA,半導体/AI,US,175.7,-1.6,60754343,191426447,0.32,207.02,94.29,72.2,183.27,184.65,178.43,40.5,-1.7732,-1.122,-0.6513,193.53,173.0,13.1,なし,35.93,,4270388412416,73.2,2.0,268.426,52.8,2026-03-20T23:41:37.830776
AMD,AMD,半導体/AI,US,200.63,-2.26,9610844,33707887,0.29,264.33,78.21,65.8,200.44,214.43,192.97,51.4,-3.3928,-4.5934,1.2006,211.87,189.02,50.8,なし,76.87,,327109345280,34.1,,289.6087,44.3,2026-03-20T23:41:38.240482
AVGO,Broadcom,半導体/AI,US,315.99,-1.2,6353184,28273209,0.22,412.18,145.42,63.9,326.44,330.53,324.56,48.3,-3.0928,-1.719,-1.3738,345.56,307.32,22.7,なし,61.72,,1498195034112,16.4,81.0,472.00763,49.4,2026-03-20T23:41:38.662624
MRVL,Marvell Technology,半導体,US,88.97,-0.63,2907696,20810224,0.14,100.13,49.27,78.1,85.01,82.22,80.25,60.2,2.4514,2.1036,0.3478,96.95,73.07,66.6,なし,28.98,,77786472448,22.1,27.0,120.50163,35.4,2026-03-20T23:41:39.093308
LRCX,Lam Research,半導体製造装置,US,227.75,-2.67,3041705,10129970,0.3,249.18,58.66,88.8,224.58,225.92,152.01,48.6,-0.1084,-1.0556,0.9472,250.57,198.58,56.1,なし,46.77,,286060806144,22.1,44.0,274.90323,20.7,2026-03-20T23:41:39.512711
KLAC,KLA Corporation,半導体検査装置,US,1474.54,-2.45,304295,952979,0.32,1682.52,572.19,81.3,1468.96,1468.38,1143.0,44.7,5.1568,2.0847,3.0721,1568.66,1369.26,52.8,なし,42.98,,193743257600,7.2,50.0,1676.3667,13.7,2026-03-20T23:41:39.932622
AMAT,Applied Materials,半導体製造装置,US,349.79,-2.08,1762565,6335708,0.28,394.95,125.82,83.2,355.84,338.26,240.16,41.6,2.5752,4.1358,-1.5605,389.82,321.86,41.1,なし,35.88,,277592834048,-2.1,59.0,410.625,17.4,2026-03-20T23:41:40.495241
CDNS,Cadence Design,半導体EDA,US,285.63,-0.62,549714,2387335,0.23,373.37,231.64,38.1,294.47,299.86,322.74,30.2,-2.9245,-2.171,-0.7535,307.9,281.05,17.1,なし,70.53,,78798315520,6.2,,371.81924,30.2,2026-03-20T23:41:40.894758
SNPS,Synopsys,半導体EDA,US,427.12,-0.26,387131,2207491,0.18,645.35,380.9,17.5,429.19,455.19,490.68,51.8,-5.7221,-7.0742,1.3522,447.66,410.72,44.4,なし,65.61,,81819975680,65.5,,537.75,25.9,2026-03-20T23:41:41.289673
TSM,TSMC,半導体ファウンドリ,US,329.9,-2.62,4969154,13203307,0.38,386.64,139.64,77.0,353.55,346.45,283.18,31.2,-4.0343,-0.8892,-3.1451,387.77,319.34,15.4,なし,31.81,,1711027912704,20.5,104.0,430.65167,30.5,2026-03-20T23:41:41.716465
INTC,Intel,半導体,US,45.65,-1.15,33234097,77962374,0.43,54.32,18.13,76.0,45.46,46.57,34.2,50.4,-0.0853,-0.0875,0.0023,47.84,43.09,53.9,なし,46.06,,228029906944,-4.1,,47.11098,3.2,2026-03-20T23:41:42.370680
QCOM,Qualcomm,半導体/通信,US,131.9,0.48,2474443,9251587,0.27,185.53,121.81,15.8,136.3,145.13,157.82,32.2,-4.1737,-4.3036,0.1298,146.42,126.19,28.2,なし,26.59,,140880494592,5.0,271.0,156.96297,19.0,2026-03-20T23:41:42.815270
MU,Micron Technology,半導体/メモリ,US,432.75,-2.59,17384291,36178284,0.48,461.73,64.59,92.7,417.06,400.8,231.66,54.3,13.6705,10.8215,2.849,465.67,368.45,66.1,なし,41.1,,487064010752,196.3,14.0,432.48718,-0.1,2026-03-20T23:41:43.262647
META,Meta Platforms,テック/広告,US,595.44,-1.86,5458242,11729647,0.47,788.15,483.15,36.8,639.25,649.54,689.45,28.6,-12.4757,-7.4221,-5.0536,678.57,599.94,-5.7,なし,25.36,,1506198552576,23.8,35.0,863.62933,45.0,2026-03-20T23:41:43.660581
PLTR,Palantir,AI/ソフトウェア,US,151.58,-2.63,13569965,47945888,0.28,207.18,74.01,58.2,147.68,151.59,163.43,58.6,1.8119,0.8112,1.0007,165.81,129.55,60.8,なし,244.48,,362530209792,70.0,,186.60307,23.1,2026-03-20T23:41:44.066041
MSFT,Microsoft,テック/クラウド,US,384.37,-1.2,13003581,32278509,0.4,539.83,351.87,17.3,398.89,420.26,479.8,35.3,-7.1789,-7.022,-0.1569,415.01,382.77,4.9,なし,24.04,,2856968781824,16.7,94.0,594.6217,54.7,2026-03-20T23:41:44.557740
AAPL,Apple,テック/消費者,US,247.71,-0.5,17113966,37930513,0.45,285.92,171.67,66.6,259.97,261.02,246.45,23.4,-4.2056,-2.8261,-1.3795,275.86,244.09,11.4,なし,31.4,,3640896520192,15.7,42.0,295.43536,19.3,2026-03-20T23:41:44.998016
AMZN,Amazon,テック/EC/クラウド,US,206.62,-1.03,17754737,44047606,0.4,254.0,167.32,45.3,210.92,220.89,224.82,47.8,-2.192,-2.4667,0.2747,218.02,203.81,19.8,なし,28.86,,2218049142784,13.6,,280.5484,35.8,2026-03-20T23:41:45.386265
GOOGL,Alphabet,テック/広告/AI,US,302.05,-1.65,8640586,27685004,0.31,343.45,144.2,79.2,306.31,317.82,259.56,45.0,-2.6483,-3.3062,0.6579,314.27,298.35,23.2,なし,27.94,,3653778014208,18.0,27.0,376.75394,24.7,2026-03-20T23:41:45.795803
TSLA,Tesla,EV/AI/エネルギー,US,373.14,-1.88,23233468,57488993,0.4,489.88,221.86,56.4,398.73,415.39,394.41,34.2,-8.8593,-7.365,-1.4943,418.9,378.57,-13.5,なし,352.02,,1400186994688,-3.1,,421.61365,13.0,2026-03-20T23:41:46.350116
CRM,Salesforce,クラウド/SaaS,US,195.21,0.11,3802133,14035636,0.27,289.72,178.16,15.3,194.67,206.05,240.49,52.5,-2.1552,-3.2204,1.0651,205.46,183.87,52.5,なし,25.03,,182911778816,12.1,90.0,273.66302,40.2,2026-03-20T23:41:46.753777
NOW,ServiceNow,クラウド/SaaS,US,111.56,-1.51,4668853,17396662,0.27,208.94,100.58,10.1,112.85,117.03,165.0,53.0,-0.5237,-0.8534,0.3297,124.91,100.78,44.6,なし,66.79,,117695922176,20.7,,188.6695,69.1,2026-03-20T23:41:47.169393
SNOW,Snowflake,クラウド/データ,US,174.14,-0.72,701267,6349138,0.11,277.14,130.53,29.7,172.85,185.42,216.96,54.1,-2.2459,-3.2783,1.0325,185.64,160.05,55.1,なし,71.62,,59590709248,30.1,,239.84174,37.7,2026-03-20T23:41:47.570140
DDOG,Datadog,クラウド/監視,US,128.01,-1.49,780282,4919159,0.16,199.72,87.0,36.4,120.53,122.83,139.36,71.0,2.1114,0.8059,1.3056,138.42,102.64,70.9,なし,412.94,,45296504832,29.2,,182.4307,42.5,2026-03-20T23:41:47.967885
NET,Cloudflare,クラウド/セキュリティ,US,223.86,1.13,664486,3802114,0.17,253.3,97.08,81.2,195.6,187.61,200.24,81.8,10.3808,7.3028,3.078,237.14,154.07,84.0,なし,154.94,,78794309632,33.6,,232.43323,3.8,2026-03-20T23:41:48.373885
CRWD,CrowdStrike,サイバーセキュリティ,US,409.68,-4.32,1635126,4883761,0.33,557.53,321.63,37.3,409.13,425.69,467.54,60.9,3.0681,1.4038,1.6643,472.73,345.53,50.4,なし,66.34,,103901888512,23.3,,490.4775,19.7,2026-03-20T23:41:48.942052
ZS,Zscaler,サイバーセキュリティ,US,152.83,-1.66,592731,3352871,0.18,336.27,143.28,4.9,155.02,178.81,258.22,56.0,-6.5906,-8.2394,1.6489,166.66,143.38,40.6,なし,33.32,,24572856320,25.9,,234.78804,53.6,2026-03-20T23:41:49.335109
PANW,Palo Alto Networks,サイバーセキュリティ,US,164.88,-2.86,1977549,9170182,0.22,221.38,141.67,29.1,159.64,168.32,189.54,75.8,1.1394,-0.3879,1.5273,178.75,140.54,63.7,なし,91.6,,134542082048,14.9,,207.74898,26.0,2026-03-20T23:41:49.739068
SHOP,Shopify,EC/SaaS,US,120.06,-1.89,1952438,8984721,0.22,179.01,76.89,42.3,124.96,130.93,140.66,50.7,-1.4178,-1.3326,-0.0852,135.34,114.57,26.4,なし,127.72,,156688334848,30.6,,160.15218,33.4,2026-03-20T23:41:50.130301
