ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,vol_5d,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time,price_5y_ago,price_3y_ago,price_1y_ago,change_5y_pct,change_3y_pct,change_1y_pct,high_1y,high_1y_date,low_1y,low_1y_date
NVDA,NVIDIA,半導体/AI,US,198.45,-0.56,127110269,147241743,0.86,"187172400,180275400,123711800,224690300,127110269",216.61,94.29,85.2,197.22,187.15,183.84,58.1,6.2432,6.3544,-0.1112,219.15,175.29,52.8,なし,40.42,0.76,4823327440896.0,73.2,2.0,269.16544,35.6,2026-05-01T22:47:50.474261,,28.19,111.58,,604.1,77.8,216.83,2026-04-27,110.79,2025-05-06
AMD,AMD,半導体/AI,US,360.54,1.71,31628827,39597331,0.8,"50585300,43002500,44704400,42000100,31628827",360.54,78.21,100.0,284.89,235.38,211.38,83.5,34.8288,27.9431,6.8857,376.81,192.98,91.1,なし,137.61,0.96,587828363264.0,34.1,,300.5435,-16.6,2026-05-01T22:47:51.176329,,89.91,96.65,,301.0,273.0,362.79,2026-05-01,96.88,2025-05-07
AVGO,Broadcom,半導体/AI,US,421.28,0.92,11829690,21824914,0.54,"17451600,25519200,15962500,21821600,11829690",422.76,145.11,99.5,390.85,349.19,339.01,69.5,21.9302,21.5637,0.3665,453.56,328.15,74.3,なし,82.12,0.91,1994621059072.0,29.5,62.0,475.49295,12.9,2026-05-01T22:47:52.025878,,58.84,195.74,,615.9,115.2,429.31,2026-04-23,194.37,2025-05-06
MRVL,Marvell Technology,半導体,US,164.95,-0.12,13019464,28433663,0.46,"30281800,27128700,20649000,20327000,13019464",165.56,49.24,99.5,141.94,109.81,88.34,77.5,16.2942,15.7176,0.5766,180.19,103.69,80.1,なし,53.73,1.94,144241885184.0,22.1,15.0,128.36064,-22.2,2026-05-01T22:47:52.799714,,39.1,60.79,,321.9,171.4,170.84,2026-04-24,53.63,2025-05-07
LRCX,Lam Research,半導体製造装置,US,256.72,-0.44,8083860,9074733,0.89,"8095400,11499500,9585300,10376500,8083860",272.41,58.66,92.7,256.74,237.08,173.94,43.8,6.4074,8.2747,-1.8673,283.58,229.9,50.0,なし,48.53,1.52,321046577152.0,23.8,40.0,310.80646,21.1,2026-05-01T22:47:53.626087,,50.7,71.21,,406.4,260.5,275.84,2026-04-24,72.06,2025-05-06
KLAC,KLA Corporation,半導体検査装置,US,1726.26,-1.38,786062,914553,0.86,"1119600,1339800,1092100,1890600,786062",1935.0,572.19,84.7,1760.99,1590.53,1258.61,46.1,65.3039,79.5797,-14.2758,1950.64,1571.35,40.8,なし,48.82,1.94,226817327104.0,11.5,43.0,1814.2759,5.1,2026-05-01T22:47:54.416970,,368.19,671.22,,368.9,157.2,1939.36,2026-04-24,670.19,2025-05-07
AMAT,Applied Materials,半導体製造装置,US,389.08,-1.37,4582850,5569867,0.82,"5663400,10396200,5116400,7039500,4582850",417.04,125.82,90.4,391.25,369.45,268.89,46.6,8.5075,10.8456,-2.3381,421.83,360.66,46.5,なし,39.95,1.82,308777713664.0,-2.1,54.0,424.375,9.1,2026-05-01T22:47:55.123202,,109.3,147.64,,256.0,163.5,420.5,2026-04-24,150.17,2025-05-07
CDNS,Cadence Design,半導体EDA,US,340.94,3.44,1825241,2556767,0.71,"4034400,4885200,2949700,2076800,1825241",373.37,231.64,77.1,309.16,297.71,321.67,73.9,12.4042,9.6152,2.7891,354.87,263.45,84.8,なし,79.66,3.13,94130831360.0,18.7,,380.0111,11.5,2026-05-01T22:47:55.936438,,208.97,299.73,,63.2,13.7,376.45,2025-07-31,262.75,2026-02-03
SNPS,Synopsys,半導体EDA,US,489.02,1.33,844917,1661205,0.51,"2227500,1548300,1159500,1340700,844917",645.35,380.47,41.0,448.34,431.93,479.48,73.6,19.0026,14.6359,4.3667,521.62,375.06,77.8,なし,75.0,3.18,93677666304.0,65.5,,534.6481,9.3,2026-05-01T22:47:56.648239,,368.83,459.36,,32.6,6.5,651.73,2025-07-30,376.18,2025-11-18
TSM,TSMC,半導体ファウンドリ,US,397.67,0.41,9779073,13471968,0.73,"16561200,14715800,10313000,12762200,9779073",404.98,139.64,97.2,376.96,359.93,304.25,63.4,12.8939,11.0423,1.8516,412.25,341.68,79.3,なし,34.05,1.23,2062475853824.0,35.1,89.0,463.4514,16.5,2026-05-01T22:47:57.454436,,79.36,170.61,,401.1,133.1,414.5,2026-04-27,168.5,2025-05-06
