ticker,name,market,price,change_1d_pct,change_5d_pct,vol_ratio,vol_avg_5d,vol_avg_20d,near_high_pct,alerts,alert_count,scan_time,in_watchlist
MRNA,"Moderna, Inc.",US,61.79999923706055,11.55,34.38,1.43,8610914,6017828,0.0,5日急騰 +34.4% / 単日急騰 +11.6% / 新高値圏,3,2026-06-17 23:22,True
6920.T,LASERTEC CORP,JP,52700.0,13.16,29.64,1.33,4343820,3271215,0.0,5日急騰 +29.6% / 単日急騰 +13.2% / 新高値圏,3,2026-06-17 23:22,True
ARM,Arm Holdings plc,US,418.8800048828125,5.69,36.25,0.95,12671999,13346959,0.0,5日急騰 +36.3% / 新高値圏,2,2026-06-17 23:22,True
285A.T,KIOXIA HOLDINGS CORPORATION,JP,96000.0,1.35,36.17,0.96,37345700,39061125,0.0,5日急騰 +36.2% / 新高値圏,2,2026-06-17 23:22,False
6981.T,MURATA MANUFACTURING CO,JP,10865.0,3.18,25.61,0.97,39859040,41102645,0.0,5日急騰 +25.6% / 新高値圏,2,2026-06-17 23:22,False
6146.T,DISCO CORPORATION,JP,83700.0,2.64,19.47,1.41,2769420,1966930,-1.82,5日急騰 +19.5% / 新高値圏,2,2026-06-17 23:22,True
AMAT,"Applied Materials, Inc.",US,592.9199829101562,4.35,19.3,1.23,10805767,8815696,0.0,5日急騰 +19.3% / 新高値圏,2,2026-06-17 23:22,True
7735.T,SCREEN HOLDINGS CO LTD,JP,15320.0,2.34,18.03,1.07,2979720,2774845,0.0,5日急騰 +18.0% / 新高値圏,2,2026-06-17 23:22,False
8035.T,TOKYO ELECTRON,JP,72640.0,2.51,17.48,1.24,5347280,4313305,-0.16,5日急騰 +17.5% / 新高値圏,2,2026-06-17 23:22,True
7012.T,KAWASAKI HEAVY INDUSTRIES,JP,3266.0,7.75,14.22,0.98,13174620,13480290,-5.2,5日急騰 +14.2% / 単日急騰 +7.8%,2,2026-06-17 23:22,True
6752.T,PANASONIC HOLDINGS CORP,JP,4200.0,2.97,11.82,0.96,12327880,12789140,0.0,5日急騰 +11.8% / 新高値圏,2,2026-06-17 23:22,False
7013.T,IHI CORPORATION,JP,2916.5,5.12,19.55,1.04,18928220,18155860,-25.58,5日急騰 +19.6%,1,2026-06-17 23:22,True
